"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CA110357","CA114720","CA139575","CA140404","CA140705","CA140717"
"group_1336","","hypothetical protein","4","4","1","3","118","28","12","","578","578","578","OBHBHFCO_00855","","HDHBLALJ_01032","","HIOKELPH_01249","DOCPNFPP_01087"
"gatC","","Glutamyl-tRNA(Gln) amidotransferase subunit C","4","4","1","3","119","28","11","","287","287","287","OBHBHFCO_00856","","HDHBLALJ_01033","","HIOKELPH_01250","DOCPNFPP_01086"
"group_1338","","hypothetical protein","4","4","1","3","120","28","10","","560","560","560","OBHBHFCO_00857","","HDHBLALJ_01034","","HIOKELPH_01251","DOCPNFPP_01085"
"lysS","","Lysine--tRNA ligase","4","4","1","3","54","142","2","","1508","1508","1508","OBHBHFCO_00859","","HDHBLALJ_01036","","HIOKELPH_01253","DOCPNFPP_01083"
"glyA","","Serine hydroxymethyltransferase","4","4","1","3","53","142","1","","1244","1244","1244","OBHBHFCO_00860","","HDHBLALJ_01037","","HIOKELPH_01254","DOCPNFPP_01082"
"group_1341","","hypothetical protein","4","4","1","3","56","97","1","","827","827","827","OBHBHFCO_00862","","HDHBLALJ_01039","","HIOKELPH_01256","DOCPNFPP_01080"
"aroE","","Shikimate dehydrogenase (NADP(+))","4","4","1","3","55","97","2","","791","791","791","OBHBHFCO_00863","","HDHBLALJ_01040","","HIOKELPH_01257","DOCPNFPP_01079"
"group_1343","","hypothetical protein","4","4","1","3","100","97","3","","905","905","905","OBHBHFCO_00864","","HDHBLALJ_01041","","HIOKELPH_01258","DOCPNFPP_01078"
"lgt","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","4","4","1","3","101","97","5","","815","815","815","OBHBHFCO_00865","","HDHBLALJ_01042","","HIOKELPH_01259","DOCPNFPP_01077"
"frdC","","Fumarate reductase cytochrome b subunit","4","4","1","3","102","97","4","","785","785","785","OBHBHFCO_00866","","HDHBLALJ_01043","","HIOKELPH_01260","DOCPNFPP_01076"
"der_2","","GTPase Der","4","4","1","3","61","86","2","","2186","2186","2186","OBHBHFCO_00869","","HDHBLALJ_01046","","HIOKELPH_01263","DOCPNFPP_01073"
"der_3","","GTPase Der","4","4","1","3","60","86","3","","1832","1832","1832","OBHBHFCO_00870","","HDHBLALJ_01047","","HIOKELPH_01264","DOCPNFPP_01072"
"hcpC","","Putative beta-lactamase HcpC","4","4","1","3","59","86","4","","704","704","704","OBHBHFCO_00871","","HDHBLALJ_01048","","HIOKELPH_01265","DOCPNFPP_01071"
"group_1349","","hypothetical protein","4","4","1","3","58","86","5","","680","680","680","OBHBHFCO_00872","","HDHBLALJ_01049","","HIOKELPH_01266","DOCPNFPP_01070"
"group_1350","","hypothetical protein","4","4","1","3","57","86","6","","362","362","362","OBHBHFCO_00873","","HDHBLALJ_01050","","HIOKELPH_01267","DOCPNFPP_01069"
"yceI","","Protein YceI","4","4","1","3","62","86","1","","572","572","572","OBHBHFCO_00874","","HDHBLALJ_01051","","HIOKELPH_01268","DOCPNFPP_01068"
"group_1353","","hypothetical protein","4","4","1","3","84","109","4","","353","353","353","OBHBHFCO_00878","","HDHBLALJ_01055","","HIOKELPH_01272","DOCPNFPP_01064"
"group_1354","","hypothetical protein","4","4","1","3","83","109","2","","206","206","206","OBHBHFCO_00879","","HDHBLALJ_01056","","HIOKELPH_01273","DOCPNFPP_01063"
"group_1355","","hypothetical protein","4","4","1","3","67","109","1","","299","299","299","OBHBHFCO_00880","","HDHBLALJ_01057","","HIOKELPH_01274","DOCPNFPP_01062"
"group_1356","","hypothetical protein","4","4","1","3","73","92","6","","332","332","332","OBHBHFCO_00882","","HDHBLALJ_01059","","HIOKELPH_01276","DOCPNFPP_01060"
"group_1357","","hypothetical protein","4","4","1","3","72","92","5","","377","377","377","OBHBHFCO_00883","","HDHBLALJ_01060","","HIOKELPH_01277","DOCPNFPP_01059"
"group_1358","","hypothetical protein","4","4","1","3","71","92","4","","584","584","584","OBHBHFCO_00884","","HDHBLALJ_01061","","HIOKELPH_01278","DOCPNFPP_01058"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","4","4","1","1","552","161","1","","455","455","455","OBHBHFCO_00890","","HDHBLALJ_00560","","HIOKELPH_00048","DOCPNFPP_01500"
"surA","","Chaperone SurA","4","4","1","1","551","2","65","","815","815","815","OBHBHFCO_00892","","HDHBLALJ_00558","","HIOKELPH_00050","DOCPNFPP_01502"
"gltX1","","Glutamate--tRNA ligase 1","4","4","1","1","550","2","66","","1391","1391","1391","OBHBHFCO_00893","","HDHBLALJ_00557","","HIOKELPH_00051","DOCPNFPP_01503"
"maeB","","NADP-dependent malic enzyme","4","4","1","1","549","2","67","","1235","1235","1235","OBHBHFCO_00894","","HDHBLALJ_00556","","HIOKELPH_00052","DOCPNFPP_01504"
"upp","","Uracil phosphoribosyltransferase","4","4","1","1","548","2","68","","626","626","626","OBHBHFCO_00895","","HDHBLALJ_00555","","HIOKELPH_00053","DOCPNFPP_01505"
"mqnA","","Chorismate dehydratase","4","4","1","1","547","2","69","","671","671","671","OBHBHFCO_00896","","HDHBLALJ_00554","","HIOKELPH_00054","DOCPNFPP_01506"
"ktrA","","Ktr system potassium uptake protein A","4","4","1","1","546","2","70","","650","650","650","OBHBHFCO_00897","","HDHBLALJ_00553","","HIOKELPH_00055","DOCPNFPP_01507"
"ktrB","","Ktr system potassium uptake protein B","4","4","1","1","545","2","71","","1343","1343","1343","OBHBHFCO_00898","","HDHBLALJ_00552","","HIOKELPH_00056","DOCPNFPP_01508"
"ribBA","","Riboflavin biosynthesis protein RibBA","4","4","1","1","544","2","72","","1019","1019","1019","OBHBHFCO_00902","","HDHBLALJ_00548","","HIOKELPH_00060","DOCPNFPP_01512"
"yqeY","","putative protein YqeY","4","4","1","1","543","2","73","","443","443","443","OBHBHFCO_00903","","HDHBLALJ_00547","","HIOKELPH_00061","DOCPNFPP_01513"
"ilvB","","Acetolactate synthase large subunit","4","4","1","1","320","2","74","","1700","1700","1700","OBHBHFCO_00904","","HDHBLALJ_00546","","HIOKELPH_00062","DOCPNFPP_01514"
"ilvH","","Acetolactate synthase isozyme 3 small subunit","4","4","1","1","321","2","75","","464","464","464","OBHBHFCO_00905","","HDHBLALJ_00545","","HIOKELPH_00063","DOCPNFPP_01515"
"lpxD","","UDP-3-O-acylglucosamine N-acyltransferase","4","4","1","1","322","2","76","","953","953","953","OBHBHFCO_00906","","HDHBLALJ_00544","","HIOKELPH_00064","DOCPNFPP_01516"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","4","4","1","1","323","2","77","","1025","1025","1025","OBHBHFCO_00907","","HDHBLALJ_00543","","HIOKELPH_00065","DOCPNFPP_01517"
"tatC","","Sec-independent protein translocase protein TatC","4","4","1","1","324","2","78","","746","746","746","OBHBHFCO_00908","","HDHBLALJ_00542","","HIOKELPH_00066","DOCPNFPP_01518"
"tatB","","Sec-independent protein translocase protein TatB","4","4","1","1","325","2","79","","404","404","404","OBHBHFCO_00909","","HDHBLALJ_00541","","HIOKELPH_00067","DOCPNFPP_01519"
"hemW","","Heme chaperone HemW","4","4","1","1","326","2","80","","1067","1067","1067","OBHBHFCO_00910","","HDHBLALJ_00540","","HIOKELPH_00068","DOCPNFPP_01520"
"rppH","","RNA pyrophosphohydrolase","4","4","1","1","327","2","81","","470","470","470","OBHBHFCO_00911","","HDHBLALJ_00539","","HIOKELPH_00069","DOCPNFPP_01521"
"group_1377","","Aspartate kinase","4","4","1","1","328","2","82","","1202","1202","1202","OBHBHFCO_00912","","HDHBLALJ_00538","","HIOKELPH_00070","DOCPNFPP_01522"
"group_1378","","hypothetical protein","4","4","1","1","329","2","83","","533","533","533","OBHBHFCO_00913","","HDHBLALJ_00537","","HIOKELPH_00071","DOCPNFPP_01523"
"group_1379","","hypothetical protein","4","4","1","1","330","2","84","","611","611","611","OBHBHFCO_00914","","HDHBLALJ_00536","","HIOKELPH_00072","DOCPNFPP_01524"
"group_1380","","hypothetical protein","4","4","1","1","339","2","63","","1004","1004","1004","OBHBHFCO_00917","","HDHBLALJ_00533","","HIOKELPH_00075","DOCPNFPP_01527"
"tlyA","","16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA","4","4","1","1","338","2","62","","749","749","749","OBHBHFCO_00918","","HDHBLALJ_00532","","HIOKELPH_00076","DOCPNFPP_01528"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase","4","4","1","1","337","2","61","","836","836","836","OBHBHFCO_00919","","HDHBLALJ_00531","","HIOKELPH_00077","DOCPNFPP_01529"
"cmoA","","Carboxy-S-adenosyl-L-methionine synthase","4","4","1","1","336","2","60","","704","704","704","OBHBHFCO_00920","","HDHBLALJ_00530","","HIOKELPH_00078","DOCPNFPP_01530"
"group_1384","","hypothetical protein","4","4","1","1","334","2","58","","632","632","632","OBHBHFCO_00922","","HDHBLALJ_00528","","HIOKELPH_00080","DOCPNFPP_01532"
"group_1385","","hypothetical protein","4","4","1","1","333","2","57","","650","650","650","OBHBHFCO_00923","","HDHBLALJ_00527","","HIOKELPH_00081","DOCPNFPP_01533"
"nth_2","","Endonuclease III","4","4","1","1","332","2","56","","626","626","626","OBHBHFCO_00924","","HDHBLALJ_00526","","HIOKELPH_00082","DOCPNFPP_01534"
"cbf2","","Putative peptidyl-prolyl cis-trans isomerase Cbf2","4","4","1","1","331","2","55","","821","821","821","OBHBHFCO_00925","","HDHBLALJ_00525","","HIOKELPH_00083","DOCPNFPP_01535"
"fba","","Fructose-bisphosphate aldolase","4","4","1","1","677","2","54","","1064","1064","1064","OBHBHFCO_00926","","HDHBLALJ_00524","","HIOKELPH_00084","DOCPNFPP_01536"
"group_1389","","hypothetical protein","4","4","1","1","678","2","53","","1454","1454","1454","OBHBHFCO_00927","","HDHBLALJ_00523","","HIOKELPH_00085","DOCPNFPP_01537"
"pal_1","","Peptidoglycan-associated lipoprotein","4","4","1","1","679","2","52","","950","950","950","OBHBHFCO_00928","","HDHBLALJ_00522","","HIOKELPH_00086","DOCPNFPP_01538"
"group_1391","","hypothetical protein","4","4","1","1","680","2","51","","869","869","869","OBHBHFCO_00929","","HDHBLALJ_00521","","HIOKELPH_00087","DOCPNFPP_01539"
"yfkJ","","Low molecular weight protein-tyrosine-phosphatase YfkJ","4","4","1","1","681","2","50","","455","455","455","OBHBHFCO_00930","","HDHBLALJ_00520","","HIOKELPH_00088","DOCPNFPP_01540"
"sbnD","","Staphyloferrin B transporter","4","4","1","1","682","2","49","","1184","1184","1184","OBHBHFCO_00931","","HDHBLALJ_00519","","HIOKELPH_00089","DOCPNFPP_01541"
"group_1394","","hypothetical protein","4","4","1","1","683","2","48","","656","656","656","OBHBHFCO_00932","","HDHBLALJ_00518","","HIOKELPH_00090","DOCPNFPP_01542"
"group_1395","","putative tautomerase","4","4","1","1","684","2","47","","209","209","209","OBHBHFCO_00933","","HDHBLALJ_00517","","HIOKELPH_00091","DOCPNFPP_01543"
"group_1396","","hypothetical protein","4","4","1","1","685","2","46","","269","269","269","OBHBHFCO_00934","","HDHBLALJ_00516","","HIOKELPH_00092","DOCPNFPP_01544"
"group_1397","","hypothetical protein","4","4","1","1","686","2","45","","482","482","482","OBHBHFCO_00935","","HDHBLALJ_00515","","HIOKELPH_00093","DOCPNFPP_01545"
"pnp","","Polyribonucleotide nucleotidyltransferase","4","4","1","1","687","2","44","","2216","2216","2216","OBHBHFCO_00936","","HDHBLALJ_00514","","HIOKELPH_00094","DOCPNFPP_01546"
"lptD","","LPS-assembly protein LptD","4","4","1","1","688","2","43","","2048","2048","2048","OBHBHFCO_00937","","HDHBLALJ_00513","","HIOKELPH_00095","DOCPNFPP_01547"
"group_1400","","hypothetical protein","4","4","1","1","689","2","42","","452","452","452","OBHBHFCO_00938","","HDHBLALJ_00512","","HIOKELPH_00096","DOCPNFPP_01548"
"purD","","Phosphoribosylamine--glycine ligase","4","4","1","1","690","2","41","","1250","1250","1250","OBHBHFCO_00939","","HDHBLALJ_00511","","HIOKELPH_00097","DOCPNFPP_01549"
"group_1402","","hypothetical protein","4","4","1","1","691","2","40","","1460","1460","1460","OBHBHFCO_00940","","HDHBLALJ_00510","","HIOKELPH_00098","DOCPNFPP_01550"
"COQ3_2","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","4","4","1","1","693","2","38","","608","608","608","OBHBHFCO_00942","","HDHBLALJ_00508","","HIOKELPH_00100","DOCPNFPP_01552"
"group_1404","","hypothetical protein","4","4","1","1","1750","26","2","","476","476","476","OBHBHFCO_00944","","HDHBLALJ_00506","","HIOKELPH_00102","DOCPNFPP_01554"
"uvrC","","UvrABC system protein C","4","4","1","1","1749","26","3","","1814","1814","1814","OBHBHFCO_00945","","HDHBLALJ_00505","","HIOKELPH_00103","DOCPNFPP_01555"
"group_1406","","hypothetical protein","4","4","1","1","1748","26","4","","1193","1193","1193","OBHBHFCO_00946","","HDHBLALJ_00504","","HIOKELPH_00104","DOCPNFPP_01556"
"moaA_1","","GTP 3',8-cyclase","4","4","1","1","1747","26","5","","902","902","902","OBHBHFCO_00947","","HDHBLALJ_00503","","HIOKELPH_00105","DOCPNFPP_01557"
"hemE","","Uroporphyrinogen decarboxylase","4","4","1","1","1746","26","6","","1022","1022","1022","OBHBHFCO_00948","","HDHBLALJ_00502","","HIOKELPH_00106","DOCPNFPP_01558"
"group_1409","","hypothetical protein","4","4","1","1","1745","26","7","","311","311","311","OBHBHFCO_00949","","HDHBLALJ_00501","","HIOKELPH_00107","DOCPNFPP_01559"
"djlA_2","","Co-chaperone protein DjlA","4","4","1","1","2272","47","2","","440","800","590","OBHBHFCO_00997","","HDHBLALJ_01349","","HIOKELPH_00982","DOCPNFPP_00773"
"group_1410","","hypothetical protein","4","4","1","1","1744","26","8","","605","605","605","OBHBHFCO_00950","","HDHBLALJ_00500","","HIOKELPH_00108","DOCPNFPP_01560"
"pdxA","","4-hydroxythreonine-4-phosphate dehydrogenase","4","4","1","1","1743","26","9","","1100","1100","1100","OBHBHFCO_00951","","HDHBLALJ_00499","","HIOKELPH_00109","DOCPNFPP_01561"
"pdxJ","","Pyridoxine 5'-phosphate synthase","4","4","1","1","1715","26","10","","767","767","767","OBHBHFCO_00952","","HDHBLALJ_00498","","HIOKELPH_00110","DOCPNFPP_01562"
"group_1413","","hypothetical protein","4","4","1","1","1716","26","11","","977","977","977","OBHBHFCO_00953","","HDHBLALJ_00497","","HIOKELPH_00111","DOCPNFPP_01563"
"fdhB1","","Formate dehydrogenase iron-sulfur subunit","4","4","1","1","11","182","1","","641","641","641","OBHBHFCO_00966","","HDHBLALJ_01318","","HIOKELPH_00951","DOCPNFPP_00804"
"selD","","Selenide, water dikinase","4","4","1","1","6","25","15","","926","926","926","OBHBHFCO_00972","","HDHBLALJ_01324","","HIOKELPH_00957","DOCPNFPP_00798"
"rocA","","1-pyrroline-5-carboxylate dehydrogenase","4","4","1","1","5","25","14","","3503","3503","3503","OBHBHFCO_00973","","HDHBLALJ_01325","","HIOKELPH_00958","DOCPNFPP_00797"
"putP","","High-affinity proline transporter PutP","4","4","1","1","167","25","13","","1481","1481","1481","OBHBHFCO_00974","","HDHBLALJ_01326","","HIOKELPH_00959","DOCPNFPP_00796"
"yedF","","Putative sulfur carrier protein YedF","4","4","1","1","168","25","12","","227","227","227","OBHBHFCO_00975","","HDHBLALJ_01327","","HIOKELPH_00960","DOCPNFPP_00795"
"group_1430","","hypothetical protein","4","4","1","1","169","25","11","","1211","1211","1211","OBHBHFCO_00976","","HDHBLALJ_01328","","HIOKELPH_00961","DOCPNFPP_00794"
"group_1431","","hypothetical protein","4","4","1","1","172","82","1","","518","518","518","OBHBHFCO_00980","","HDHBLALJ_01332","","HIOKELPH_00965","DOCPNFPP_00790"
"group_1432","","hypothetical protein","4","4","1","1","171","82","6","","551","551","551","OBHBHFCO_00981","","HDHBLALJ_01333","","HIOKELPH_00966","DOCPNFPP_00789"
"carA","","Carbamoyl-phosphate synthase small chain","4","4","1","1","1","82","5","","1118","1118","1118","OBHBHFCO_00982","","HDHBLALJ_01334","","HIOKELPH_00967","DOCPNFPP_00788"
"group_1434","","hypothetical protein","4","4","1","1","2","82","4","","671","671","671","OBHBHFCO_00983","","HDHBLALJ_01335","","HIOKELPH_00968","DOCPNFPP_00787"
"sasA_4","","Adaptive-response sensory-kinase SasA","4","4","1","1","3","82","3","","1214","1214","1214","OBHBHFCO_00984","","HDHBLALJ_01336","","HIOKELPH_00969","DOCPNFPP_00786"
"mprA_2","","Response regulator MprA","4","4","1","1","4","82","2","","668","668","668","OBHBHFCO_00985","","HDHBLALJ_01337","","HIOKELPH_00970","DOCPNFPP_00785"
"group_1437","","hypothetical protein","4","4","1","1","181","47","12","","665","665","665","OBHBHFCO_00987","","HDHBLALJ_01339","","HIOKELPH_00972","DOCPNFPP_00783"
"group_1438","","hypothetical protein","4","4","1","1","180","47","11","","251","251","251","OBHBHFCO_00988","","HDHBLALJ_01340","","HIOKELPH_00973","DOCPNFPP_00782"
"ccoP","","Cbb3-type cytochrome c oxidase subunit CcoP","4","4","1","1","2273","47","10","","863","863","863","OBHBHFCO_00989","","HDHBLALJ_01341","","HIOKELPH_00974","DOCPNFPP_00781"
"group_144","","hypothetical protein","4","4","1","2","12","57","7","","530","962","854","OBHBHFCO_01109","","HDHBLALJ_01420","","HIOKELPH_01305","DOCPNFPP_01356"
"group_1440","","hypothetical protein","4","4","1","1","2274","47","9","","221","221","221","OBHBHFCO_00990","","HDHBLALJ_01342","","HIOKELPH_00975","DOCPNFPP_00780"
"group_1441","","hypothetical protein","4","4","1","1","2275","47","8","","101","101","101","OBHBHFCO_00991","","HDHBLALJ_01343","","HIOKELPH_00976","DOCPNFPP_00779"
"group_1442","","hypothetical protein","4","4","1","1","2276","47","7","","590","590","590","OBHBHFCO_00992","","HDHBLALJ_01344","","HIOKELPH_00977","DOCPNFPP_00778"
"group_1443","","hypothetical protein","4","4","1","1","2277","47","6","","524","524","524","OBHBHFCO_00993","","HDHBLALJ_01345","","HIOKELPH_00978","DOCPNFPP_00777"
"group_1444","","hypothetical protein","4","4","1","1","2278","47","5","","2366","2366","2366","OBHBHFCO_00994","","HDHBLALJ_01346","","HIOKELPH_00979","DOCPNFPP_00776"
"addA","","ATP-dependent helicase/nuclease subunit A","4","4","1","1","2280","47","4","","2762","2762","2762","OBHBHFCO_00995","","HDHBLALJ_01347","","HIOKELPH_00980","DOCPNFPP_00775"
"oprF","","Outer membrane porin F","4","4","1","1","193","133","2","","998","998","998","OBHBHFCO_01000","","HDHBLALJ_01352","","HIOKELPH_00985","DOCPNFPP_00770"
"gph_2","","Phosphoglycolate phosphatase","4","4","1","1","192","133","1","","638","638","638","OBHBHFCO_01001","","HDHBLALJ_01353","","HIOKELPH_00986","DOCPNFPP_00769"
"group_1449","","hypothetical protein","4","4","1","1","199","68","8","","296","296","296","OBHBHFCO_01003","","HDHBLALJ_01355","","HIOKELPH_00988","DOCPNFPP_00767"
"sctC","","Type 3 secretion system secretin","4","4","1","1","198","68","7","","1418","1418","1418","OBHBHFCO_01004","","HDHBLALJ_01356","","HIOKELPH_00989","DOCPNFPP_00766"
"group_1451","","hypothetical protein","4","4","1","1","197","68","6","","596","596","596","OBHBHFCO_01005","","HDHBLALJ_01357","","HIOKELPH_00990","DOCPNFPP_00765"
"group_1452","","hypothetical protein","4","4","1","1","196","68","5","","596","596","596","OBHBHFCO_01006","","HDHBLALJ_01358","","HIOKELPH_00991","DOCPNFPP_00764"
"group_1453","","hypothetical protein","4","4","1","1","195","68","4","","1562","1562","1562","OBHBHFCO_01007","","HDHBLALJ_01359","","HIOKELPH_00992","DOCPNFPP_00763"
"gspF","","Putative type II secretion system protein F","4","4","1","1","194","68","3","","1175","1175","1175","OBHBHFCO_01008","","HDHBLALJ_01360","","HIOKELPH_00993","DOCPNFPP_00762"
"yfcA","","putative membrane transporter protein YfcA","4","4","1","1","2256","68","2","","764","764","764","OBHBHFCO_01009","","HDHBLALJ_01361","","HIOKELPH_00994","DOCPNFPP_00761"
"group_1456","","hypothetical protein","4","4","1","1","2257","68","1","","764","764","764","OBHBHFCO_01010","","HDHBLALJ_01362","","HIOKELPH_00995","DOCPNFPP_00760"
"flgI","","Flagellar P-ring protein","4","4","1","1","2237","72","1","","1046","1046","1046","OBHBHFCO_01015","","HDHBLALJ_01367","","HIOKELPH_01000","DOCPNFPP_00755"
"lapB","","Lipopolysaccharide assembly protein B","4","4","1","2","304","33","11","","983","983","983","OBHBHFCO_01016","","HDHBLALJ_01156","","HIOKELPH_01463","DOCPNFPP_00967"
"rnhA","","Ribonuclease H","4","4","1","2","305","33","12","","440","440","440","OBHBHFCO_01017","","HDHBLALJ_01155","","HIOKELPH_01462","DOCPNFPP_00966"
"rnc","","Ribonuclease 3","4","4","1","2","306","33","13","","674","674","674","OBHBHFCO_01018","","HDHBLALJ_01154","","HIOKELPH_01461","DOCPNFPP_00965"
"aroC","","Chorismate synthase","4","4","1","2","307","33","14","","1091","1091","1091","OBHBHFCO_01019","","HDHBLALJ_01153","","HIOKELPH_01460","DOCPNFPP_00964"
"group_1462","","hypothetical protein","4","4","1","2","308","33","15","","548","548","548","OBHBHFCO_01020","","HDHBLALJ_01152","","HIOKELPH_01459","DOCPNFPP_00963"
"fhaC","","Filamentous hemagglutinin transporter protein FhaC","4","4","1","2","313","33","4","","1343","1343","1343","OBHBHFCO_01025","","HDHBLALJ_01149","","HIOKELPH_01453","DOCPNFPP_00958"
"mnmA_1","","tRNA-specific 2-thiouridylase MnmA","4","4","1","2","314","33","3","","983","983","983","OBHBHFCO_01026","","HDHBLALJ_01148","","HIOKELPH_01452","DOCPNFPP_00957"
"group_1465","","hypothetical protein","4","4","1","2","299","88","1","","869","869","869","OBHBHFCO_01028","","HDHBLALJ_01146","","HIOKELPH_01450","DOCPNFPP_00955"
"tolR","","Tol-Pal system protein TolR","4","4","1","2","298","88","2","","389","389","389","OBHBHFCO_01029","","HDHBLALJ_01145","","HIOKELPH_01449","DOCPNFPP_00954"
"tolQ_1","","Tol-Pal system protein TolQ","4","4","1","2","297","88","3","","425","425","425","OBHBHFCO_01030","","HDHBLALJ_01144","","HIOKELPH_01448","DOCPNFPP_00953"
"group_1468","","hypothetical protein","4","4","1","2","286","88","6","","737","737","737","OBHBHFCO_01031","","HDHBLALJ_01143","","HIOKELPH_01447","DOCPNFPP_00952"
"group_1469","","hypothetical protein","4","4","1","2","287","88","5","","416","416","416","OBHBHFCO_01032","","HDHBLALJ_01142","","HIOKELPH_01446","DOCPNFPP_00951"
"sdaC","","Serine transporter","4","4","1","2","288","88","4","","1322","1322","1322","OBHBHFCO_01033","","HDHBLALJ_01141","","HIOKELPH_01445","DOCPNFPP_00950"
"group_1471","","hypothetical protein","4","4","1","2","164","27","1","","521","521","521","OBHBHFCO_01035","","HDHBLALJ_01139","","HIOKELPH_01443","DOCPNFPP_00948"
"ribD","","Riboflavin biosynthesis protein RibD","4","4","1","2","163","27","2","","980","980","980","OBHBHFCO_01036","","HDHBLALJ_01138","","HIOKELPH_01442","DOCPNFPP_00947"
"group_1473","","hypothetical protein","4","4","1","2","161","27","4","","329","329","329","OBHBHFCO_01038","","HDHBLALJ_01136","","HIOKELPH_01440","DOCPNFPP_00945"
"group_1474","","hypothetical protein","4","4","1","2","160","27","5","","758","758","758","OBHBHFCO_01043","","HDHBLALJ_01131","","HIOKELPH_01435","DOCPNFPP_00940"
"group_1475","","hypothetical protein","4","4","1","2","168","27","6","","236","236","236","OBHBHFCO_01044","","HDHBLALJ_01130","","HIOKELPH_01434","DOCPNFPP_00939"
"group_1476","","Bacteriohemerythrin","4","4","1","2","169","27","7","","338","338","338","OBHBHFCO_01045","","HDHBLALJ_01129","","HIOKELPH_01433","DOCPNFPP_00938"
"mutY","","Adenine DNA glycosylase","4","4","1","2","171","27","9","","1019","1019","1019","OBHBHFCO_01047","","HDHBLALJ_01127","","HIOKELPH_01549","DOCPNFPP_00936"
"kgtP","","Alpha-ketoglutarate permease","4","4","1","2","172","27","17","","1262","1262","1262","OBHBHFCO_01048","","HDHBLALJ_01126","","HIOKELPH_01550","DOCPNFPP_00935"
"moaA_2","","GTP 3',8-cyclase","4","4","1","2","173","27","16","","857","857","857","OBHBHFCO_01049","","HDHBLALJ_01125","","HIOKELPH_01551","DOCPNFPP_00934"
"btuF","","Vitamin B12-binding protein","4","4","1","2","174","27","15","","806","806","806","OBHBHFCO_01050","","HDHBLALJ_01124","","HIOKELPH_01552","DOCPNFPP_00933"
"fepC","","Ferric enterobactin transport ATP-binding protein FepC","4","4","1","2","175","27","14","","779","779","779","OBHBHFCO_01051","","HDHBLALJ_01123","","HIOKELPH_01553","DOCPNFPP_00932"
"hmuU","","Hemin transport system permease protein HmuU","4","4","1","2","176","27","13","","1001","1001","1001","OBHBHFCO_01052","","HDHBLALJ_01122","","HIOKELPH_01554","DOCPNFPP_00931"
"btuB","","Vitamin B12 transporter BtuB","4","4","1","2","177","27","12","","2108","2108","2108","OBHBHFCO_01053","","HDHBLALJ_01121","","HIOKELPH_01555","DOCPNFPP_00930"
"hugZ","","Heme oxygenase HugZ","4","4","1","2","178","27","11","","755","755","755","OBHBHFCO_01054","","HDHBLALJ_01120","","HIOKELPH_01556","DOCPNFPP_00929"
"prfA","","Peptide chain release factor RF1","4","4","1","2","179","27","10","","1067","1067","1067","OBHBHFCO_01055","","HDHBLALJ_01119","","HIOKELPH_01557","DOCPNFPP_00928"
"pgpA","","Phosphatidylglycerophosphatase A","4","4","1","2","167","95","1","","500","500","500","OBHBHFCO_01057","","HDHBLALJ_01117","","HIOKELPH_01559","DOCPNFPP_00926"
"sat","","Sulfate adenylyltransferase","4","4","1","2","166","95","2","","1160","1160","1160","OBHBHFCO_01058","","HDHBLALJ_01116","","HIOKELPH_01560","DOCPNFPP_00925"
"group_1488","","hypothetical protein","4","4","1","2","180","95","3","","887","887","887","OBHBHFCO_01059","","HDHBLALJ_01115","","HIOKELPH_01561","DOCPNFPP_00924"
"ispDF","","Bifunctional enzyme IspD/IspF","4","4","1","2","181","95","4","","1115","1115","1115","OBHBHFCO_01060","","HDHBLALJ_01114","","HIOKELPH_01562","DOCPNFPP_00923"
"group_149","","hypothetical protein","4","4","1","1","2036","6","29","","1181","1184","1181","OBHBHFCO_01174","","HDHBLALJ_01563","","HIOKELPH_01030","DOCPNFPP_00715"
"group_1490","","Iron-sulfur cluster carrier protein","4","4","1","2","182","95","5","","1106","1106","1106","OBHBHFCO_01061","","HDHBLALJ_01113","","HIOKELPH_01563","DOCPNFPP_00922"
"group_1491","","hypothetical protein","4","4","1","2","185","69","6","","515","515","515","OBHBHFCO_01063","","HDHBLALJ_01111","","HIOKELPH_01565","DOCPNFPP_00920"
"hisI","","Histidine biosynthesis bifunctional protein HisIE","4","4","1","2","184","69","7","","623","623","623","OBHBHFCO_01064","","HDHBLALJ_01110","","HIOKELPH_01566","DOCPNFPP_00919"
"group_1493","hisF_1","Imidazole glycerol phosphate synthase subunit HisF","4","4","1","2","183","69","8","","767","767","767","OBHBHFCO_01065","","HDHBLALJ_01109","","HIOKELPH_01567","DOCPNFPP_00918"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","4","4","1","2","253","69","5","","728","728","728","OBHBHFCO_01066","","HDHBLALJ_01108","","HIOKELPH_01568","DOCPNFPP_00917"
"hisH_1","","Imidazole glycerol phosphate synthase subunit HisH","4","4","1","2","254","69","4","","587","587","587","OBHBHFCO_01067","","HDHBLALJ_01107","","HIOKELPH_01569","DOCPNFPP_00916"
